Id,Label,timeset,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,Authority,Hub
1221801193,1221801193,,0,1,1,0,1,1,1,1,1,0,0,0,0
1289758279250452480,1289758279250452480,,1,0,1,1,0,1,0,0,0,0,0,0,0
252565001,252565001,,0,0,0,0,0,0,0,0,0,0,1,0,0
1371162554056257536,1371162554056257536,,0,0,0,0,0,0,0,0,0,0,2,0,0
754229219081805824,754229219081805824,,0,0,0,0,0,0,0,0,0,0,3,0,0
1417609333404311552,1417609333404311552,,0,2,2,0,2,2,9,0.219626,0.235505,0,18,0,0.000511
589253599,589253599,,4,0,4,4,0,4,0,0,0,0,18,0.000872,0
945762882817613824,945762882817613824,,35,66,101,36,69,105,8,0.281123,0.319627,0.000957,18,0.01663,0.00037
1365379693,1365379693,,0,8,8,0,9,9,10,0.216325,0.248807,0,9,0,0.000113
1360232480,1360232480,,6,2,8,13,4,17,2,0.625,0.7,0.000047,9,0.002139,0
396691435,396691435,,1,5,6,1,5,6,6,0.363493,0.407343,0.000007,9,0.000003,0.049703
1429938235082424320,1429938235082424320,,3,27,30,11,27,38,9,0.249701,0.292888,0.000041,18,0.000833,0.006154
1617818378,1617818378,,1,0,1,1,0,1,0,0,0,0,9,0.000003,0
397961650,397961650,,1,2,3,1,2,3,6,0.391484,0.431813,0.000001,9,0.000003,0.007594
1363122959620198400,1363122959620198400,,1,1,2,1,1,2,1,1,1,0,19,0.000003,0.000038
145802194,145802194,,1,3,4,1,3,4,6,0.362106,0.405463,0.000004,9,0.000003,0.013749
1435736186975313920,1435736186975313920,,3,1,4,3,1,4,3,0.444444,0.5,0.000001,15,0.000893,0.000308
1327657796050022400,1327657796050022400,,0,0,0,0,0,0,0,0,0,0,4,0,0
313517712,313517712,,0,2,2,0,2,2,6,0.391245,0.431469,0,5,0,0.004387
1385660793031696384,1385660793031696384,,30,0,30,31,0,31,0,0,0,0,5,0.008118,0
1216846151569301504,1216846151569301504,,267,193,460,267,193,460,5,0.638202,0.802171,0.004273,9,0.142065,0.021591
1709866242,1709866242,,0,1,1,0,1,1,1,1,1,0,18,0,0.000025
2176575594,2176575594,,0,2,2,0,2,2,9,0.219626,0.235505,0,18,0,0.000511
930659928,930659928,,0,6,6,0,6,6,7,0.295158,0.332436,0,18,0,0.028803
107746083,107746083,,61,425,486,69,432,501,8,0.328449,0.424392,0.002386,15,0.035204,0.002599
1300873999312982016,1300873999312982016,,956,1,957,956,1,957,1,1,1,0.000015,5,0.708395,0.003445
483223623,483223623,,253,299,552,254,299,553,7,0.434647,0.577628,0.004827,9,0.163999,0.007191
485538699,485538699,,6,39,45,6,40,46,7,0.299459,0.324076,0.000079,18,0.004513,0.000242
475862409,475862409,,139,99,238,145,103,248,6,0.37321,0.47912,0.001537,14,0.073085,0.000281
1416651131837730816,1416651131837730816,,0,14,14,0,18,18,6,0.443455,0.478179,0,28,0,0.00011
2350541780,2350541780,,1,26,27,3,51,54,6,0.326573,0.36449,0.000001,28,0.000003,0.000023
337767301,337767301,,7,6,13,14,12,26,2,0.875,0.928571,0.000122,9,0.000049,0.000048
1238611928228007936,1238611928228007936,,1,0,1,2,0,2,0,0,0,0,28,0.000003,0
1121542719669723136,1121542719669723136,,9,0,9,10,0,10,0,0,0,0,28,0.000005,0
1325300101,1325300101,,3,0,3,3,0,3,0,0,0,0,28,0.000005,0
3207511185,3207511185,,240,0,240,241,0,241,0,0,0,0,28,0.000758,0
771613884,771613884,,28,0,28,28,0,28,0,0,0,0,28,0.000026,0
52456124,52456124,,3,1,4,3,1,4,1,1,1,0,28,0.000005,0
889570898566672384,889570898566672384,,1,0,1,1,0,1,0,0,0,0,28,0.000003,0
